date,weight
2017-04-04T00:00:00Z,92.5
2017-04-12T00:00:00Z,90.6
2017-04-17T00:00:00Z,89.9
2017-04-24T00:00:00Z,90
2017-05-01T00:00:00Z,90.2
2017-05-08T00:00:00Z,89.8
2017-05-22T00:00:00Z,89.9
2017-05-29T00:00:00Z,90.6
2017-06-05T00:00:00Z,89.4
2017-06-12T00:00:00Z,88.8
2017-06-18T00:00:00Z,88.6
2017-07-11T00:00:00Z,86.4
2017-07-24T00:00:00Z,86.4
2017-07-31T00:00:00Z,86.4
2017-08-07T00:00:00Z,88.3
2017-08-14T00:00:00Z,86.4
2017-08-21T00:00:00Z,86.4
2017-08-28T00:00:00Z,85.8
2017-09-11T00:00:00Z,84.8
2017-09-18T00:00:00Z,85.3
2017-09-25T00:00:00Z,85
2017-10-02T00:00:00Z,85.3
2017-10-08T00:00:00Z,84.6
2017-10-16T00:00:00Z,84.8
2017-10-24T00:00:00Z,85.2
2017-10-30T00:00:00Z,85.9
2017-11-06T00:00:00Z,85.1
2017-11-14T00:00:00Z,84.9
2017-11-20T00:00:00Z,85.9
2017-11-27T00:00:00Z,86.1
2017-12-05T00:00:00Z,84.7
2017-12-11T00:00:00Z,85.6
2017-12-18T00:00:00Z,86.5
2017-12-27T00:00:00Z,86.7
2018-01-03T00:00:00Z,87.3
2018-01-08T00:00:00Z,88.1
2018-01-15T00:00:00Z,87.1
